client timestamp,button,state,x,y
1440,NoButton,Move,530,97
1455,NoButton,Move,552,145
1455,NoButton,Move,570,184
1471,NoButton,Move,591,219
1487,NoButton,Move,612,249
1506,NoButton,Move,640,275
1509,NoButton,Move,673,299
1524,NoButton,Move,718,321
1540,NoButton,Move,772,335
1540,NoButton,Move,837,339
1556,NoButton,Move,914,335
1571,NoButton,Move,983,325
1587,NoButton,Move,1041,313
1587,NoButton,Move,1084,304
1609,NoButton,Move,1109,296
1625,NoButton,Move,1117,292
1625,NoButton,Move,1119,289
1640,NoButton,Move,1118,287
1656,NoButton,Move,1112,282
1672,NoButton,Move,1099,275
1672,NoButton,Move,1067,258
1687,NoButton,Move,1035,238
1709,NoButton,Move,1000,216
1709,NoButton,Move,968,198
1725,NoButton,Move,945,188
1741,NoButton,Move,927,185
1756,NoButton,Move,903,185
1756,NoButton,Move,877,187
1772,NoButton,Move,852,196
1787,NoButton,Move,823,210
1806,NoButton,Move,798,228
1810,NoButton,Move,778,247
1825,NoButton,Move,754,271
1841,NoButton,Move,728,297
1841,NoButton,Move,700,330
1856,NoButton,Move,673,359
1872,NoButton,Move,642,386
1888,NoButton,Move,611,412
1888,NoButton,Move,581,433
1910,NoButton,Move,558,445
1910,NoButton,Move,547,450
1925,NoButton,Move,538,454
1941,NoButton,Move,534,456
1957,NoButton,Move,530,457
1972,NoButton,Move,528,459
1972,NoButton,Move,526,460
1988,NoButton,Move,525,461
2010,NoButton,Move,525,461
2010,NoButton,Move,529,457
2025,NoButton,Move,549,441
2041,NoButton,Move,616,399
2056,NoButton,Move,722,351
2056,NoButton,Move,847,309
2072,NoButton,Move,978,281
2088,NoButton,Move,1093,262
2105,NoButton,Move,1162,254
2110,NoButton,Move,1187,251
2125,NoButton,Move,1193,251
2141,NoButton,Move,1188,251
2157,NoButton,Move,1177,255
2172,NoButton,Move,1143,273
2188,NoButton,Move,1084,308
2188,NoButton,Move,1011,352
2210,NoButton,Move,934,399
2210,NoButton,Move,856,448
2226,NoButton,Move,775,493
2241,NoButton,Move,698,532
2257,NoButton,Move,629,565
2273,NoButton,Move,566,594
2273,NoButton,Move,508,619
2288,NoButton,Move,450,648
2309,NoButton,Move,394,679
2310,NoButton,Move,329,722
2326,NoButton,Move,262,761
2342,NoButton,Move,201,793
2342,NoButton,Move,153,789
2357,NoButton,Move,116,774
2373,NoButton,Move,104,767
2389,NoButton,Move,100,767
2405,NoButton,Move,100,766
2410,NoButton,Move,101,764
2811,NoButton,Move,112,764
2811,NoButton,Move,124,764
2836,NoButton,Move,134,764
2840,NoButton,Move,144,764
2856,NoButton,Move,153,764
2871,NoButton,Move,161,762
