client timestamp,button,state,x,y
614,NoButton,Move,617,308
660,NoButton,Move,617,308
683,NoButton,Move,617,309
696,NoButton,Move,619,310
708,NoButton,Move,621,312
720,NoButton,Move,627,313
732,NoButton,Move,637,315
744,NoButton,Move,650,315
755,NoButton,Move,665,315
768,NoButton,Move,690,310
780,NoButton,Move,719,302
791,NoButton,Move,757,291
804,NoButton,Move,801,278
815,NoButton,Move,849,264
827,NoButton,Move,892,255
840,NoButton,Move,938,244
851,NoButton,Move,984,232
863,NoButton,Move,1029,221
863,NoButton,Move,1064,214
879,NoButton,Move,1090,209
895,NoButton,Move,1101,208
910,NoButton,Move,1106,208
910,NoButton,Move,1108,208
926,NoButton,Move,1108,208
959,NoButton,Move,1108,208
964,NoButton,Move,1105,209
979,NoButton,Move,1100,211
995,NoButton,Move,1094,214
995,NoButton,Move,1086,221
1011,NoButton,Move,1074,227
1026,NoButton,Move,1054,240
1042,NoButton,Move,1024,259
1042,NoButton,Move,981,287
1064,NoButton,Move,930,317
1064,NoButton,Move,869,346
1080,NoButton,Move,808,374
1095,NoButton,Move,748,399
1111,NoButton,Move,693,417
1126,NoButton,Move,634,431
1126,NoButton,Move,581,441
1142,NoButton,Move,533,451
1163,NoButton,Move,496,458
1164,NoButton,Move,469,464
1180,NoButton,Move,457,466
1195,NoButton,Move,449,466
1211,NoButton,Move,446,466
1211,NoButton,Move,444,466
1227,NoButton,Move,443,465
1242,NoButton,Move,443,464
1259,NoButton,Move,443,462
1264,NoButton,Move,443,462
1280,NoButton,Move,443,461
1280,NoButton,Move,443,461
1296,NoButton,Move,446,461
1311,NoButton,Move,451,461
1327,NoButton,Move,459,461
1343,NoButton,Move,472,459
1343,NoButton,Move,505,457
1365,NoButton,Move,546,455
1365,NoButton,Move,593,451
1380,NoButton,Move,634,447
1396,NoButton,Move,668,444
1412,NoButton,Move,696,441
1412,NoButton,Move,710,440
1427,NoButton,Move,719,438
1443,NoButton,Move,727,437
1462,NoButton,Move,730,436
1465,NoButton,Move,732,436
1481,NoButton,Move,732,436
1496,NoButton,Move,731,436
1512,NoButton,Move,727,438
1527,NoButton,Move,722,440
1543,NoButton,Move,717,443
1559,NoButton,Move,708,448
1565,NoButton,Move,697,455
1581,NoButton,Move,684,462
1581,NoButton,Move,669,469
1597,NoButton,Move,641,479
1612,NoButton,Move,614,487
1628,NoButton,Move,597,492
1628,NoButton,Move,584,495
1643,NoButton,Move,574,496
1665,NoButton,Move,569,497
1665,NoButton,Move,567,497
1681,NoButton,Move,566,497
1696,NoButton,Move,566,496
1712,NoButton,Move,566,496
1712,NoButton,Move,566,495
1728,NoButton,Move,566,495
1743,NoButton,Move,567,493
1763,NoButton,Move,567,493
1765,NoButton,Move,568,493
1781,NoButton,Move,569,493
1797,NoButton,Move,569,493
3631,NoButton,Move,538,520
3647,NoButton,Move,491,563
3664,NoButton,Move,450,596
3669,NoButton,Move,417,622
3685,NoButton,Move,387,641
3700,NoButton,Move,363,654
3700,NoButton,Move,351,657
3716,NoButton,Move,343,659
3731,NoButton,Move,337,661
3747,NoButton,Move,332,663
3747,NoButton,Move,324,665
3769,NoButton,Move,313,666
3784,NoButton,Move,301,668
3784,NoButton,Move,290,669
3800,NoButton,Move,282,670
3816,NoButton,Move,274,670
3831,NoButton,Move,266,671
3831,NoButton,Move,259,673
3847,NoButton,Move,252,674
3867,NoButton,Move,249,676
3868,NoButton,Move,247,678
3884,NoButton,Move,245,679
3900,NoButton,Move,245,680
3915,NoButton,Move,244,682
3915,NoButton,Move,244,683
3931,NoButton,Move,242,685
3947,NoButton,Move,239,691
3963,NoButton,Move,232,699
3969,NoButton,Move,222,710
3985,NoButton,Move,212,720
3985,NoButton,Move,202,729
4000,NoButton,Move,193,733
4016,NoButton,Move,189,736
4031,NoButton,Move,187,736
4047,NoButton,Move,185,736
4047,NoButton,Move,185,736
4069,NoButton,Move,185,735
4069,NoButton,Move,185,735
4085,NoButton,Move,185,735
4116,NoButton,Move,185,735
4132,NoButton,Move,185,735
4132,NoButton,Move,183,737
4147,NoButton,Move,180,738
4167,NoButton,Move,178,738
4169,NoButton,Move,177,738
4185,NoButton,Move,176,738
4248,NoButton,Move,176,738
4263,NoButton,Move,176,739
4270,NoButton,Move,176,739
4285,NoButton,Move,176,740
4301,NoButton,Move,176,741
4317,NoButton,Move,174,744
4332,NoButton,Move,172,747
4332,NoButton,Move,168,749
4348,NoButton,Move,165,752
4370,NoButton,Move,163,753
4370,NoButton,Move,160,753
4385,NoButton,Move,160,753
4401,NoButton,Move,159,753
4416,NoButton,Move,159,753
4432,NoButton,Move,160,753
4448,NoButton,Move,161,753
4467,NoButton,Move,161,753
4469,NoButton,Move,162,753
4701,Left,Pressed,162,753
