client timestamp,button,state,x,y
4702,NoButton,Move,268,317
4714,NoButton,Move,267,318
4738,NoButton,Move,267,319
4750,NoButton,Move,266,319
4762,NoButton,Move,266,321
4798,NoButton,Move,266,322
4810,NoButton,Move,264,322
4822,NoButton,Move,264,323
4846,NoButton,Move,264,324
4870,NoButton,Move,264,326
4894,NoButton,Move,264,327
4918,NoButton,Move,264,328
4930,NoButton,Move,264,329
4942,NoButton,Move,265,331
4966,NoButton,Move,265,332
4977,NoButton,Move,265,333
4989,NoButton,Move,266,335
5002,NoButton,Move,266,337
5014,NoButton,Move,268,339
5026,NoButton,Move,268,341
5038,NoButton,Move,268,343
5050,NoButton,Move,269,345
5062,NoButton,Move,269,346
5074,NoButton,Move,271,348
5086,NoButton,Move,271,351
5098,NoButton,Move,271,353
5110,NoButton,Move,272,354
5122,NoButton,Move,272,355
5134,NoButton,Move,272,357
5146,NoButton,Move,274,358
5169,NoButton,Move,275,360
5193,NoButton,Move,275,361
5205,NoButton,Move,276,362
5217,NoButton,Move,276,364
5229,NoButton,Move,278,365
5241,NoButton,Move,278,366
5253,NoButton,Move,278,368
5265,NoButton,Move,278,370
5277,NoButton,Move,279,371
5289,NoButton,Move,279,375
5301,NoButton,Move,281,376
5313,NoButton,Move,281,379
5325,NoButton,Move,282,380
5337,NoButton,Move,282,382
5349,NoButton,Move,284,384
5361,NoButton,Move,284,388
5373,NoButton,Move,285,390
5385,NoButton,Move,285,394
5397,NoButton,Move,286,396
5409,NoButton,Move,286,400
5421,NoButton,Move,288,406
5433,NoButton,Move,290,410
5445,NoButton,Move,290,416
5457,NoButton,Move,293,422
5469,NoButton,Move,295,430
5481,NoButton,Move,297,436
5493,NoButton,Move,299,444
5505,NoButton,Move,301,450
5517,NoButton,Move,303,456
5529,NoButton,Move,305,464
5541,NoButton,Move,307,470
5553,NoButton,Move,310,478
5564,NoButton,Move,312,486
5578,NoButton,Move,315,492
5590,NoButton,Move,317,498
5602,NoButton,Move,320,503
5614,NoButton,Move,322,507
5626,NoButton,Move,324,509
5636,NoButton,Move,325,509
5650,NoButton,Move,325,510
5662,NoButton,Move,327,510
5684,NoButton,Move,328,510
5708,NoButton,Move,329,509
5732,NoButton,Move,331,509
5756,NoButton,Move,331,510
5770,NoButton,Move,331,511
5782,NoButton,Move,331,513
5794,NoButton,Move,332,517
5806,NoButton,Move,332,520
5818,NoButton,Move,332,524
5828,NoButton,Move,332,526
5840,NoButton,Move,334,531
5854,NoButton,Move,334,535
5864,NoButton,Move,336,540
5876,NoButton,Move,338,545
5888,NoButton,Move,340,551
5900,NoButton,Move,340,555
5912,NoButton,Move,341,560
5924,NoButton,Move,343,564
5936,NoButton,Move,345,567
5948,NoButton,Move,345,569
5960,NoButton,Move,346,571
5972,NoButton,Move,346,573
5984,NoButton,Move,346,575
5996,NoButton,Move,346,576
6009,NoButton,Move,346,578
6020,NoButton,Move,348,578
6056,NoButton,Move,349,578
6080,NoButton,Move,350,578
6104,NoButton,Move,350,577
6202,Left,Pressed,350,577
6274,Left,Released,350,577
7040,NoButton,Move,354,578
7050,NoButton,Move,359,581
7060,NoButton,Move,365,584
7073,NoButton,Move,367,585
7080,NoButton,Move,371,588
7090,NoButton,Move,374,589
7110,NoButton,Move,378,589
7123,NoButton,Move,380,591
7131,NoButton,Move,382,592
7144,NoButton,Move,384,594
7150,NoButton,Move,389,596
7170,NoButton,Move,391,597
7180,NoButton,Move,395,599
7190,NoButton,Move,397,599
7200,NoButton,Move,399,600
7210,NoButton,Move,402,602
7231,NoButton,Move,403,602
7240,NoButton,Move,405,603
7252,NoButton,Move,407,603
7263,NoButton,Move,408,605
7270,NoButton,Move,410,605
7290,NoButton,Move,412,606
7300,NoButton,Move,413,608
7310,NoButton,Move,415,609
7323,NoButton,Move,416,609
7331,NoButton,Move,418,610
7350,NoButton,Move,419,610
7361,NoButton,Move,421,612
7370,NoButton,Move,423,613
7380,NoButton,Move,424,615
7390,NoButton,Move,426,615
7410,NoButton,Move,428,617
7420,NoButton,Move,429,619
7432,NoButton,Move,432,620
7444,NoButton,Move,433,621
7453,NoButton,Move,434,621
7470,NoButton,Move,436,623
7480,NoButton,Move,437,624
7490,NoButton,Move,438,624
7500,NoButton,Move,440,626
7513,NoButton,Move,441,626
7530,NoButton,Move,442,627
7550,NoButton,Move,444,627
7560,NoButton,Move,445,629
7570,NoButton,Move,446,629
7590,NoButton,Move,448,629
7600,NoButton,Move,449,630
7611,NoButton,Move,450,630
7620,NoButton,Move,452,631
7632,NoButton,Move,453,631
7650,NoButton,Move,455,633
7660,NoButton,Move,457,633
7673,NoButton,Move,459,634
7682,NoButton,Move,461,636
7693,NoButton,Move,463,637
7710,NoButton,Move,465,639
7720,NoButton,Move,466,640
7732,NoButton,Move,468,642
7740,NoButton,Move,470,643
7750,NoButton,Move,471,645
7770,NoButton,Move,473,646
7780,NoButton,Move,474,647
7790,NoButton,Move,476,649
7800,NoButton,Move,477,650
7810,NoButton,Move,478,650
7839,NoButton,Move,481,653
7852,NoButton,Move,483,655
7860,NoButton,Move,484,656
7874,NoButton,Move,485,657
7890,NoButton,Move,487,659
7904,NoButton,Move,489,660
7910,NoButton,Move,491,662
7920,NoButton,Move,492,662
7932,NoButton,Move,493,663
7950,NoButton,Move,493,664
7960,NoButton,Move,495,666
